#;Reference;QTY;Value;Package
1;C8,C11;2;0.01uF;0402(1005 Metric)
2;C9,C12;2;0.1uF;0402(1005 Metric)
3;C10,C13;2;2.2uF;0402(1005 Metric)
4;C14,C15;2;220nF;0402(1005 Metric)
5;C16,C17;2;200nF;0402(1005 Metric)
6;C18,C19,C20,C21;4;100nF;0402(1005 Metric)
7;C22,C23;2;1nF;0402(1005 Metric)
8;C24;1;100nF;Electrolytic, 6.3mm x 7.7mm
9;C25;1;1000uF;THT: Radial, D10.0mm, H16.0mm, P5.0mm
10;D1;1;BZT52Bxx;D_SOD-123
11;D2;1;BZT52Bxx;D_SOD-123
12;D7;1;MMSD4148;D_SOD-124
13;D8;1;CMPD914E;SOT-23
14;F1;1;TR/3216FF25-R;1216(3216 Metric)
15;J1;1;Conn_01x08;Molex KK-254 AE-6410-08A 1x08 P2.54mm Vertical
16;J2;1;Laser 1;MJ1-2533
17;J3,J10;2;Conn_01x04;Molex KK-254 AE-6410-04A 1x04 P2.54mm Vertical
18;J4,J5,J7,J9,J11;5;Conn_01x02;Molex KK-254 AE-6410-02A 1x02 P2.54mm Vertical
19;J6;1;Conn_01x02;Molex Mega-Fit 76829-0002 2x01 P5.70mm Vertical
20;J8;1;Conn_01x06;Molex Micro-Fit 3.0 43045-0612 2x03 P3.00mm Vertical
21;K1;1;J115F11AH12VDCS61.5U;Standex Meder UMS Relay
22;Q1,Q2;2;BTN8982TA;TO-263-7 Tab Pin 8
23;Q3;1;SUD50P04-08;TO-252-2
24;Q4;1;TIP35CW;TO-247-3 Vertical
25;Q5,Q6;2;FMMT634Q;SOT-23
26;;;;
27;;;;
28;;;;
29;;;;
30;;;;
31;;;;
32;;;;
33;;;;
34;;;;
35;;;;
36;;;;
